ts,high,low,open,close,change,transaction,next_open
1414454400,13.3,12.65,12.65,13.2,0.6,286,13.3
1414540800,13.45,13.1,13.3,13.35,0.15,207,13.35
1414627200,13.45,13.2,13.35,13.2,-0.15,89,13.25
1414713600,13.45,13.2,13.25,13.35,0.15,120,13.35
1414972800,13.85,13.35,13.35,13.65,0.3,239,13.75
1415059200,13.75,13.55,13.75,13.6,-0.05,78,13.8
1415145600,13.8,13.5,13.8,13.5,-0.1,130,13.6
1415232000,13.65,13.4,13.6,13.4,-0.1,77,13.9
1415318400,13.9,13.5,13.9,13.8,0.4,158,14.3
1415577600,14.3,13.7,14.3,13.95,0.15,240,13
1415664000,13.5,13,13,13.1,-0.85,591,13.1
1415750400,13.1,12.7,13.1,13.1,0,162,13.1
1415836800,13.25,12.7,13.1,12.8,-0.3,186,12.8
1415923200,12.95,12.7,12.8,12.9,0.1,192,13
1416182400,13,12.7,13,12.75,-0.15,96,12.8
1416268800,12.85,12.4,12.8,12.45,-0.3,181,12.55
1416355200,12.9,12.55,12.55,12.7,0.25,110,12.7
1416441600,12.85,12.7,12.7,12.7,0,93,12.75
1416528000,13.4,12.75,12.75,13.1,0.4,279,13
1416787200,13.1,12.95,13,13.1,0,93,13
1416873600,13.05,12.8,13,13,-0.1,108,13
1416960000,13.35,13,13,13.15,0.15,235,13.2
1417046400,13.4,13.2,13.2,13.2,0.05,90,13.3
1417132800,13.3,13.05,13.3,13.05,-0.15,67,12.6
1417392000,13,12.6,12.6,12.9,-0.15,116,12.95
1417478400,13.45,12.95,12.95,13.4,0.5,189,13.4
1417564800,13.65,13.4,13.4,13.6,0.2,189,13.65
1417651200,13.7,13.45,13.65,13.45,-0.15,105,13.6
1417737600,13.6,13.45,13.6,13.45,0,98,13.5
1417996800,13.5,13.4,13.5,13.45,0,92,13.5
1418083200,13.65,13.45,13.5,13.6,0.15,124,13.6
1418169600,13.8,13.45,13.6,13.75,0.15,201,13.8
1418256000,14.4,13.55,13.8,14.05,0.3,622,14
1418342400,14.2,13.75,14,14.05,0,299,14
1418601600,14,13.8,14,13.9,-0.15,112,13.9
1418688000,14.15,13.9,13.9,14,0.1,125,14
1418774400,14.15,13.85,14,13.85,-0.15,106,14.15
1418860800,14.35,14.05,14.15,14.1,0.25,138,14.45
1418947200,14.45,13.8,14.45,13.8,-0.3,191,13.85
1419206400,14.1,13.8,13.85,13.9,0.1,98,13.95
1419292800,14.15,13.95,13.95,13.95,0.05,116,14.15
1419379200,14.25,13.95,14.15,14,0.05,189,14.05
1419465600,14.15,13.9,14.05,13.95,-0.05,118,14.15
1419552000,14.3,14.05,14.15,14.2,0.25,170,14.3
1419638400,14.3,14.05,14.3,14.15,-0.05,75,14.3
1419811200,14.3,14.2,14.3,14.25,0.1,133,14.25
1419897600,14.3,14.2,14.25,14.25,0,81,14.2
1419984000,14.8,14.2,14.2,14.55,0.3,334,14.6
1420416000,15.35,14.6,14.6,15.3,0.75,607,14.9
1420502400,15.2,14.75,14.9,15,-0.3,276,15
1420588800,15.6,15,15,15.05,0.05,455,15.4
1420675200,15.4,15.05,15.4,15.2,0.15,223,15.3
1420761600,15.35,15.1,15.3,15.35,0.15,171,16.4
1421020800,16.4,16.4,16.4,16.4,1.05,503,16.65
1421107200,16.65,15.8,16.65,15.8,-0.6,1486,15.8
1421193600,16.1,15.7,15.8,15.8,0,580,15.95
1421280000,16,15.45,15.95,15.45,-0.35,401,15.45
1421366400,15.6,14.9,15.45,14.9,-0.55,308,15.1
1421625600,15.35,14.9,15.1,15,0.1,287,15.1
1421712000,15.45,15,15.1,15.15,0.15,353,15.2
1421798400,15.3,14.85,15.2,14.95,-0.2,208,15.05
1421884800,15.3,14.95,15.05,15.1,0.15,291,15.2
1421971200,15.2,15,15.2,15,-0.1,156,15.05
1422230400,15.25,15,15.05,15.2,0.2,114,15.3
1422316800,15.45,15.05,15.3,15.2,0,453,15.1
1422403200,15.15,15,15.1,15.1,-0.1,164,15.05
1422489600,15.05,14.85,15.05,14.9,-0.2,158,15
1422576000,15.1,14.7,15,14.75,-0.15,159,14.75
1422835200,14.8,14.5,14.75,14.6,-0.15,112,14.7
1422921600,14.9,14.7,14.7,14.8,0.2,135,14.85
1423008000,14.95,14.7,14.85,14.75,-0.05,111,14.9
1423094400,14.9,14.65,14.9,14.7,-0.05,86,14.7
1423180800,14.75,14.65,14.7,14.65,-0.05,96,14.65
1423440000,14.65,14.5,14.65,14.55,-0.1,92,14.6
1423526400,14.7,14.6,14.6,14.65,0.1,91,14.65
1423612800,14.65,14.35,14.65,14.5,-0.15,168,14.3
1423699200,14.4,14.3,14.3,14.35,-0.15,104,14.35
1423785600,14.35,14.15,14.35,14.25,-0.1,122,14.3
1424736000,14.7,14.25,14.3,14.7,0.45,138,14.8
1424822400,14.9,14.45,14.8,14.45,-0.25,186,14.45
1424908800,14.7,14.4,14.45,14.6,0.15,107,14.65
1425254400,14.75,14.4,14.65,14.6,0,280,14.75
1425340800,14.75,14.45,14.75,14.5,-0.1,103,14.5
1425427200,14.55,14.35,14.5,14.35,-0.15,138,14.45
1425513600,14.95,14.45,14.45,14.75,0.4,403,14.85
1425600000,14.85,14.55,14.85,14.55,-0.2,165,14.5
1425859200,14.7,14.4,14.5,14.55,0,124,14.65
1425945600,14.7,14.2,14.65,14.3,-0.25,199,14.3
1426032000,14.5,14.1,14.3,14.3,0,168,14.35
1426118400,14.7,14.2,14.35,14.65,0.35,275,14.7
1426204800,14.95,14.65,14.7,14.65,0,685,14.7
1426464000,14.75,14.3,14.7,14.3,-0.35,187,14.4
1426550400,14.5,14.25,14.4,14.25,-0.05,181,14.25
1426636800,14.4,14.2,14.25,14.2,-0.05,118,14.25
1426723200,14.35,14.2,14.25,14.25,0.05,110,14.25
1426809600,14.35,14.2,14.25,14.35,0.1,125,14.35
